CategoryID,CategoryKey,ViolationLocatedAt,DumpingDescription,ViolationKey,DescriptionKey
1,ALLEY|APPLIANCE,Alley,Appliance,ALLEY,APPLIANCE
2,ALLEY|AUTO PARTS,Alley,Auto Parts,ALLEY,AUTO PARTS
3,ALLEY|CONSTRUCTION DEBRIS,Alley,Construction Debris,ALLEY,CONSTRUCTION DEBRIS
4,ALLEY|ELECTRONICS,Alley,Electronics,ALLEY,ELECTRONICS
5,ALLEY|FURNITURE,Alley,Furniture,ALLEY,FURNITURE
6,ALLEY|GARBAGE,Alley,Garbage,ALLEY,GARBAGE
7,ALLEY|HAZMAT,Alley,Hazmat,ALLEY,HAZMAT
8,"ALLEY|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Alley,"Hazmat (paints, solvents, unidentified liquids)",ALLEY,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
9,ALLEY|LITTER,Alley,Litter,ALLEY,LITTER
10,ALLEY|MATTRESS,Alley,Mattress,ALLEY,MATTRESS
11,ALLEY|NEEDLES,Alley,Needles,ALLEY,NEEDLES
12,ALLEY|OTHER,Alley,Other,ALLEY,OTHER
13,"ALLEY|OTHER, ENTER MORE DETAILS",Alley,"Other, enter more details",ALLEY,"OTHER, ENTER MORE DETAILS"
14,ALLEY|SHOPPING CARTS,Alley,Shopping Carts,ALLEY,SHOPPING CARTS
15,ALLEY|TIRES,Alley,Tires,ALLEY,TIRES
16,ALLEY|TV / COMPUTER MONITOR,Alley,TV / Computer Monitor,ALLEY,TV / COMPUTER MONITOR
17,ALLEY|YARD WASTE,Alley,Yard Waste,ALLEY,YARD WASTE
18,ALLEY|UNK,Alley,,ALLEY,
19,CITY PARK|APPLIANCE,City Park,Appliance,CITY PARK,APPLIANCE
20,CITY PARK|AUTO PARTS,City Park,Auto Parts,CITY PARK,AUTO PARTS
21,CITY PARK|CONSTRUCTION DEBRIS,City Park,Construction Debris,CITY PARK,CONSTRUCTION DEBRIS
22,CITY PARK|ELECTRONICS,City Park,Electronics,CITY PARK,ELECTRONICS
23,CITY PARK|FURNITURE,City Park,Furniture,CITY PARK,FURNITURE
24,CITY PARK|GARBAGE,City Park,Garbage,CITY PARK,GARBAGE
25,"CITY PARK|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",City Park,"Hazmat (paints, solvents, unidentified liquids)",CITY PARK,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
26,CITY PARK|LITTER,City Park,Litter,CITY PARK,LITTER
27,CITY PARK|MATTRESS,City Park,Mattress,CITY PARK,MATTRESS
28,CITY PARK|NEEDLES,City Park,Needles,CITY PARK,NEEDLES
29,CITY PARK|OTHER,City Park,Other,CITY PARK,OTHER
30,"CITY PARK|OTHER, ENTER MORE DETAILS",City Park,"Other, enter more details",CITY PARK,"OTHER, ENTER MORE DETAILS"
31,CITY PARK|SHOPPING CARTS,City Park,Shopping Carts,CITY PARK,SHOPPING CARTS
32,CITY PARK|TIRES,City Park,Tires,CITY PARK,TIRES
33,CITY PARK|TV / COMPUTER MONITOR,City Park,TV / Computer Monitor,CITY PARK,TV / COMPUTER MONITOR
34,CITY PARK|YARD WASTE,City Park,Yard Waste,CITY PARK,YARD WASTE
35,CITY PARK|UNK,City Park,,CITY PARK,
36,DUMPSTER|APPLIANCE,Dumpster,Appliance,DUMPSTER,APPLIANCE
37,DUMPSTER|AUTO PARTS,Dumpster,Auto Parts,DUMPSTER,AUTO PARTS
38,DUMPSTER|CONSTRUCTION DEBRIS,Dumpster,Construction Debris,DUMPSTER,CONSTRUCTION DEBRIS
39,DUMPSTER|ELECTRONICS,Dumpster,Electronics,DUMPSTER,ELECTRONICS
40,DUMPSTER|FURNITURE,Dumpster,Furniture,DUMPSTER,FURNITURE
41,DUMPSTER|GARBAGE,Dumpster,Garbage,DUMPSTER,GARBAGE
42,"DUMPSTER|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Dumpster,"Hazmat (paints, solvents, unidentified liquids)",DUMPSTER,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
43,DUMPSTER|LITTER,Dumpster,Litter,DUMPSTER,LITTER
44,DUMPSTER|MATTRESS,Dumpster,Mattress,DUMPSTER,MATTRESS
45,DUMPSTER|NEEDLES,Dumpster,Needles,DUMPSTER,NEEDLES
46,DUMPSTER|OTHER,Dumpster,Other,DUMPSTER,OTHER
47,"DUMPSTER|OTHER, ENTER MORE DETAILS",Dumpster,"Other, enter more details",DUMPSTER,"OTHER, ENTER MORE DETAILS"
48,DUMPSTER|SHOPPING CARTS,Dumpster,Shopping Carts,DUMPSTER,SHOPPING CARTS
49,DUMPSTER|TIRES,Dumpster,Tires,DUMPSTER,TIRES
50,DUMPSTER|TV / COMPUTER MONITOR,Dumpster,TV / Computer Monitor,DUMPSTER,TV / COMPUTER MONITOR
51,DUMPSTER|YARD WASTE,Dumpster,Yard Waste,DUMPSTER,YARD WASTE
52,GREENBELT|APPLIANCE,Greenbelt,Appliance,GREENBELT,APPLIANCE
53,GREENBELT|AUTO PARTS,Greenbelt,Auto Parts,GREENBELT,AUTO PARTS
54,GREENBELT|CONSTRUCTION DEBRIS,Greenbelt,Construction Debris,GREENBELT,CONSTRUCTION DEBRIS
55,GREENBELT|ELECTRONICS,Greenbelt,Electronics,GREENBELT,ELECTRONICS
56,GREENBELT|FURNITURE,Greenbelt,Furniture,GREENBELT,FURNITURE
57,GREENBELT|GARBAGE,Greenbelt,Garbage,GREENBELT,GARBAGE
58,"GREENBELT|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Greenbelt,"Hazmat (paints, solvents, unidentified liquids)",GREENBELT,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
59,GREENBELT|LITTER,Greenbelt,Litter,GREENBELT,LITTER
60,GREENBELT|MATTRESS,Greenbelt,Mattress,GREENBELT,MATTRESS
61,GREENBELT|NEEDLES,Greenbelt,Needles,GREENBELT,NEEDLES
62,GREENBELT|OTHER,Greenbelt,Other,GREENBELT,OTHER
63,"GREENBELT|OTHER, ENTER MORE DETAILS",Greenbelt,"Other, enter more details",GREENBELT,"OTHER, ENTER MORE DETAILS"
64,GREENBELT|SHOPPING CARTS,Greenbelt,Shopping Carts,GREENBELT,SHOPPING CARTS
65,GREENBELT|TIRES,Greenbelt,Tires,GREENBELT,TIRES
66,GREENBELT|TV / COMPUTER MONITOR,Greenbelt,TV / Computer Monitor,GREENBELT,TV / COMPUTER MONITOR
67,GREENBELT|YARD WASTE,Greenbelt,Yard Waste,GREENBELT,YARD WASTE
68,GREENBELT|UNK,Greenbelt,,GREENBELT,
69,MEDIAN|APPLIANCE,Median,Appliance,MEDIAN,APPLIANCE
70,MEDIAN|AUTO PARTS,Median,Auto Parts,MEDIAN,AUTO PARTS
71,MEDIAN|CONSTRUCTION DEBRIS,Median,Construction Debris,MEDIAN,CONSTRUCTION DEBRIS
72,MEDIAN|ELECTRONICS,Median,Electronics,MEDIAN,ELECTRONICS
73,MEDIAN|FURNITURE,Median,Furniture,MEDIAN,FURNITURE
74,MEDIAN|GARBAGE,Median,Garbage,MEDIAN,GARBAGE
75,"MEDIAN|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Median,"Hazmat (paints, solvents, unidentified liquids)",MEDIAN,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
76,MEDIAN|LITTER,Median,Litter,MEDIAN,LITTER
77,MEDIAN|MATTRESS,Median,Mattress,MEDIAN,MATTRESS
78,MEDIAN|NEEDLES,Median,Needles,MEDIAN,NEEDLES
79,MEDIAN|OTHER,Median,Other,MEDIAN,OTHER
80,"MEDIAN|OTHER, ENTER MORE DETAILS",Median,"Other, enter more details",MEDIAN,"OTHER, ENTER MORE DETAILS"
81,MEDIAN|SHOPPING CARTS,Median,Shopping Carts,MEDIAN,SHOPPING CARTS
82,MEDIAN|TIRES,Median,Tires,MEDIAN,TIRES
83,MEDIAN|TV / COMPUTER MONITOR,Median,TV / Computer Monitor,MEDIAN,TV / COMPUTER MONITOR
84,MEDIAN|YARD WASTE,Median,Yard Waste,MEDIAN,YARD WASTE
85,OTHER|APPLIANCE,Other,Appliance,OTHER,APPLIANCE
86,OTHER|AUTO PARTS,Other,Auto Parts,OTHER,AUTO PARTS
87,OTHER|CONSTRUCTION DEBRIS,Other,Construction Debris,OTHER,CONSTRUCTION DEBRIS
88,OTHER|ELECTRONICS,Other,Electronics,OTHER,ELECTRONICS
89,OTHER|FURNITURE,Other,Furniture,OTHER,FURNITURE
90,OTHER|GARBAGE,Other,Garbage,OTHER,GARBAGE
91,"OTHER|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Other,"Hazmat (paints, solvents, unidentified liquids)",OTHER,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
92,OTHER|LITTER,Other,Litter,OTHER,LITTER
93,OTHER|MATTRESS,Other,Mattress,OTHER,MATTRESS
94,OTHER|NEEDLES,Other,Needles,OTHER,NEEDLES
95,OTHER|OTHER,Other,Other,OTHER,OTHER
96,OTHER|SHOPPING CARTS,Other,Shopping Carts,OTHER,SHOPPING CARTS
97,OTHER|TIRES,Other,Tires,OTHER,TIRES
98,OTHER|TV / COMPUTER MONITOR,Other,TV / Computer Monitor,OTHER,TV / COMPUTER MONITOR
99,OTHER|YARD WASTE,Other,Yard Waste,OTHER,YARD WASTE
100,"OTHER, ENTER MORE DETAILS|APPLIANCE","Other, enter more details",Appliance,"OTHER, ENTER MORE DETAILS",APPLIANCE
101,"OTHER, ENTER MORE DETAILS|AUTO PARTS","Other, enter more details",Auto Parts,"OTHER, ENTER MORE DETAILS",AUTO PARTS
102,"OTHER, ENTER MORE DETAILS|CONSTRUCTION DEBRIS","Other, enter more details",Construction Debris,"OTHER, ENTER MORE DETAILS",CONSTRUCTION DEBRIS
103,"OTHER, ENTER MORE DETAILS|ELECTRONICS","Other, enter more details",Electronics,"OTHER, ENTER MORE DETAILS",ELECTRONICS
104,"OTHER, ENTER MORE DETAILS|FURNITURE","Other, enter more details",Furniture,"OTHER, ENTER MORE DETAILS",FURNITURE
105,"OTHER, ENTER MORE DETAILS|GARBAGE","Other, enter more details",Garbage,"OTHER, ENTER MORE DETAILS",GARBAGE
106,"OTHER, ENTER MORE DETAILS|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)","Other, enter more details","Hazmat (paints, solvents, unidentified liquids)","OTHER, ENTER MORE DETAILS","HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
107,"OTHER, ENTER MORE DETAILS|LITTER","Other, enter more details",Litter,"OTHER, ENTER MORE DETAILS",LITTER
108,"OTHER, ENTER MORE DETAILS|NEEDLES","Other, enter more details",Needles,"OTHER, ENTER MORE DETAILS",NEEDLES
109,"OTHER, ENTER MORE DETAILS|OTHER, ENTER MORE DETAILS","Other, enter more details","Other, enter more details","OTHER, ENTER MORE DETAILS","OTHER, ENTER MORE DETAILS"
110,"OTHER, ENTER MORE DETAILS|TIRES","Other, enter more details",Tires,"OTHER, ENTER MORE DETAILS",TIRES
111,"OTHER, ENTER MORE DETAILS|TV / COMPUTER MONITOR","Other, enter more details",TV / Computer Monitor,"OTHER, ENTER MORE DETAILS",TV / COMPUTER MONITOR
112,"OTHER, ENTER MORE DETAILS|YARD WASTE","Other, enter more details",Yard Waste,"OTHER, ENTER MORE DETAILS",YARD WASTE
113,"OTHER, ENTER MORE DETAILS|UNK","Other, enter more details",,"OTHER, ENTER MORE DETAILS",
114,PLANTING STRIP|APPLIANCE,Planting Strip,Appliance,PLANTING STRIP,APPLIANCE
115,PLANTING STRIP|AUTO PARTS,Planting Strip,Auto Parts,PLANTING STRIP,AUTO PARTS
116,PLANTING STRIP|CONSTRUCTION DEBRIS,Planting Strip,Construction Debris,PLANTING STRIP,CONSTRUCTION DEBRIS
117,PLANTING STRIP|ELECTRONICS,Planting Strip,Electronics,PLANTING STRIP,ELECTRONICS
118,PLANTING STRIP|FURNITURE,Planting Strip,Furniture,PLANTING STRIP,FURNITURE
119,PLANTING STRIP|GARBAGE,Planting Strip,Garbage,PLANTING STRIP,GARBAGE
120,"PLANTING STRIP|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Planting Strip,"Hazmat (paints, solvents, unidentified liquids)",PLANTING STRIP,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
121,PLANTING STRIP|LITTER,Planting Strip,Litter,PLANTING STRIP,LITTER
122,PLANTING STRIP|MATTRESS,Planting Strip,Mattress,PLANTING STRIP,MATTRESS
123,PLANTING STRIP|NEEDLES,Planting Strip,Needles,PLANTING STRIP,NEEDLES
124,PLANTING STRIP|OTHER,Planting Strip,Other,PLANTING STRIP,OTHER
125,"PLANTING STRIP|OTHER, ENTER MORE DETAILS",Planting Strip,"Other, enter more details",PLANTING STRIP,"OTHER, ENTER MORE DETAILS"
126,PLANTING STRIP|SHOPPING CARTS,Planting Strip,Shopping Carts,PLANTING STRIP,SHOPPING CARTS
127,PLANTING STRIP|TIRES,Planting Strip,Tires,PLANTING STRIP,TIRES
128,PLANTING STRIP|TV / COMPUTER MONITOR,Planting Strip,TV / Computer Monitor,PLANTING STRIP,TV / COMPUTER MONITOR
129,PLANTING STRIP|YARD WASTE,Planting Strip,Yard Waste,PLANTING STRIP,YARD WASTE
130,PLANTING STRIP|UNK,Planting Strip,,PLANTING STRIP,
131,PRIVATE PROPERTY|APPLIANCE,Private Property,Appliance,PRIVATE PROPERTY,APPLIANCE
132,PRIVATE PROPERTY|AUTO PARTS,Private Property,Auto Parts,PRIVATE PROPERTY,AUTO PARTS
133,PRIVATE PROPERTY|CONSTRUCTION DEBRIS,Private Property,Construction Debris,PRIVATE PROPERTY,CONSTRUCTION DEBRIS
134,PRIVATE PROPERTY|ELECTRONICS,Private Property,Electronics,PRIVATE PROPERTY,ELECTRONICS
135,PRIVATE PROPERTY|FURNITURE,Private Property,Furniture,PRIVATE PROPERTY,FURNITURE
136,PRIVATE PROPERTY|GARBAGE,Private Property,Garbage,PRIVATE PROPERTY,GARBAGE
137,"PRIVATE PROPERTY|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Private Property,"Hazmat (paints, solvents, unidentified liquids)",PRIVATE PROPERTY,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
138,PRIVATE PROPERTY|LITTER,Private Property,Litter,PRIVATE PROPERTY,LITTER
139,PRIVATE PROPERTY|MATTRESS,Private Property,Mattress,PRIVATE PROPERTY,MATTRESS
140,PRIVATE PROPERTY|NEEDLES,Private Property,Needles,PRIVATE PROPERTY,NEEDLES
141,PRIVATE PROPERTY|OTHER,Private Property,Other,PRIVATE PROPERTY,OTHER
142,"PRIVATE PROPERTY|OTHER, ENTER MORE DETAILS",Private Property,"Other, enter more details",PRIVATE PROPERTY,"OTHER, ENTER MORE DETAILS"
143,PRIVATE PROPERTY|SHOPPING CARTS,Private Property,Shopping Carts,PRIVATE PROPERTY,SHOPPING CARTS
144,PRIVATE PROPERTY|TIRES,Private Property,Tires,PRIVATE PROPERTY,TIRES
145,PRIVATE PROPERTY|TV / COMPUTER MONITOR,Private Property,TV / Computer Monitor,PRIVATE PROPERTY,TV / COMPUTER MONITOR
146,PRIVATE PROPERTY|YARD WASTE,Private Property,Yard Waste,PRIVATE PROPERTY,YARD WASTE
147,RIGHT OF WAY|APPLIANCE,Right of Way,Appliance,RIGHT OF WAY,APPLIANCE
148,RIGHT OF WAY|AUTO PARTS,Right of Way,Auto Parts,RIGHT OF WAY,AUTO PARTS
149,RIGHT OF WAY|CONSTRUCTION DEBRIS,Right of Way,Construction Debris,RIGHT OF WAY,CONSTRUCTION DEBRIS
150,RIGHT OF WAY|ELECTRONICS,Right of Way,Electronics,RIGHT OF WAY,ELECTRONICS
151,RIGHT OF WAY|FURNITURE,Right of Way,Furniture,RIGHT OF WAY,FURNITURE
152,RIGHT OF WAY|GARBAGE,Right of Way,Garbage,RIGHT OF WAY,GARBAGE
153,"RIGHT OF WAY|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Right of Way,"Hazmat (paints, solvents, unidentified liquids)",RIGHT OF WAY,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
154,RIGHT OF WAY|LITTER,Right of Way,Litter,RIGHT OF WAY,LITTER
155,RIGHT OF WAY|MATTRESS,Right of Way,Mattress,RIGHT OF WAY,MATTRESS
156,RIGHT OF WAY|NEEDLES,Right of Way,Needles,RIGHT OF WAY,NEEDLES
157,RIGHT OF WAY|OTHER,Right of Way,Other,RIGHT OF WAY,OTHER
158,"RIGHT OF WAY|OTHER, ENTER MORE DETAILS",Right of Way,"Other, enter more details",RIGHT OF WAY,"OTHER, ENTER MORE DETAILS"
159,RIGHT OF WAY|SHOPPING CARTS,Right of Way,Shopping Carts,RIGHT OF WAY,SHOPPING CARTS
160,RIGHT OF WAY|TIRES,Right of Way,Tires,RIGHT OF WAY,TIRES
161,RIGHT OF WAY|TV / COMPUTER MONITOR,Right of Way,TV / Computer Monitor,RIGHT OF WAY,TV / COMPUTER MONITOR
162,RIGHT OF WAY|YARD WASTE,Right of Way,Yard Waste,RIGHT OF WAY,YARD WASTE
163,RIGHT OF WAY|UNK,Right of Way,,RIGHT OF WAY,
164,SIDEWALK|APPLIANCE,Sidewalk,Appliance,SIDEWALK,APPLIANCE
165,SIDEWALK|AUTO PARTS,Sidewalk,Auto Parts,SIDEWALK,AUTO PARTS
166,SIDEWALK|CONSTRUCTION DEBRIS,Sidewalk,Construction Debris,SIDEWALK,CONSTRUCTION DEBRIS
167,SIDEWALK|ELECTRONICS,Sidewalk,Electronics,SIDEWALK,ELECTRONICS
168,SIDEWALK|FURNITURE,Sidewalk,Furniture,SIDEWALK,FURNITURE
169,SIDEWALK|GARBAGE,Sidewalk,Garbage,SIDEWALK,GARBAGE
170,"SIDEWALK|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Sidewalk,"Hazmat (paints, solvents, unidentified liquids)",SIDEWALK,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
171,SIDEWALK|LITTER,Sidewalk,Litter,SIDEWALK,LITTER
172,SIDEWALK|MATTRESS,Sidewalk,Mattress,SIDEWALK,MATTRESS
173,SIDEWALK|NEEDLES,Sidewalk,Needles,SIDEWALK,NEEDLES
174,SIDEWALK|OTHER,Sidewalk,Other,SIDEWALK,OTHER
175,"SIDEWALK|OTHER, ENTER MORE DETAILS",Sidewalk,"Other, enter more details",SIDEWALK,"OTHER, ENTER MORE DETAILS"
176,SIDEWALK|SHOPPING CARTS,Sidewalk,Shopping Carts,SIDEWALK,SHOPPING CARTS
177,SIDEWALK|TIRES,Sidewalk,Tires,SIDEWALK,TIRES
178,SIDEWALK|TV / COMPUTER MONITOR,Sidewalk,TV / Computer Monitor,SIDEWALK,TV / COMPUTER MONITOR
179,SIDEWALK|YARD WASTE,Sidewalk,Yard Waste,SIDEWALK,YARD WASTE
180,SIDEWALK|UNK,Sidewalk,,SIDEWALK,
181,UNDER BRIDGE|APPLIANCE,Under Bridge,Appliance,UNDER BRIDGE,APPLIANCE
182,UNDER BRIDGE|AUTO PARTS,Under Bridge,Auto Parts,UNDER BRIDGE,AUTO PARTS
183,UNDER BRIDGE|CONSTRUCTION DEBRIS,Under Bridge,Construction Debris,UNDER BRIDGE,CONSTRUCTION DEBRIS
184,UNDER BRIDGE|ELECTRONICS,Under Bridge,Electronics,UNDER BRIDGE,ELECTRONICS
185,UNDER BRIDGE|FURNITURE,Under Bridge,Furniture,UNDER BRIDGE,FURNITURE
186,UNDER BRIDGE|GARBAGE,Under Bridge,Garbage,UNDER BRIDGE,GARBAGE
187,"UNDER BRIDGE|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Under Bridge,"Hazmat (paints, solvents, unidentified liquids)",UNDER BRIDGE,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
188,UNDER BRIDGE|LITTER,Under Bridge,Litter,UNDER BRIDGE,LITTER
189,UNDER BRIDGE|MATTRESS,Under Bridge,Mattress,UNDER BRIDGE,MATTRESS
190,UNDER BRIDGE|NEEDLES,Under Bridge,Needles,UNDER BRIDGE,NEEDLES
191,UNDER BRIDGE|OTHER,Under Bridge,Other,UNDER BRIDGE,OTHER
192,"UNDER BRIDGE|OTHER, ENTER MORE DETAILS",Under Bridge,"Other, enter more details",UNDER BRIDGE,"OTHER, ENTER MORE DETAILS"
193,UNDER BRIDGE|SHOPPING CARTS,Under Bridge,Shopping Carts,UNDER BRIDGE,SHOPPING CARTS
194,UNDER BRIDGE|TIRES,Under Bridge,Tires,UNDER BRIDGE,TIRES
195,UNDER BRIDGE|TV / COMPUTER MONITOR,Under Bridge,TV / Computer Monitor,UNDER BRIDGE,TV / COMPUTER MONITOR
196,UNDER BRIDGE|YARD WASTE,Under Bridge,Yard Waste,UNDER BRIDGE,YARD WASTE
197,UNDER BRIDGE|UNK,Under Bridge,,UNDER BRIDGE,
198,UNDERPASS (FREEWAY)|APPLIANCE,Underpass (freeway),Appliance,UNDERPASS (FREEWAY),APPLIANCE
199,UNDERPASS (FREEWAY)|AUTO PARTS,Underpass (freeway),Auto Parts,UNDERPASS (FREEWAY),AUTO PARTS
200,UNDERPASS (FREEWAY)|CONSTRUCTION DEBRIS,Underpass (freeway),Construction Debris,UNDERPASS (FREEWAY),CONSTRUCTION DEBRIS
201,UNDERPASS (FREEWAY)|ELECTRONICS,Underpass (freeway),Electronics,UNDERPASS (FREEWAY),ELECTRONICS
202,UNDERPASS (FREEWAY)|FURNITURE,Underpass (freeway),Furniture,UNDERPASS (FREEWAY),FURNITURE
203,UNDERPASS (FREEWAY)|GARBAGE,Underpass (freeway),Garbage,UNDERPASS (FREEWAY),GARBAGE
204,"UNDERPASS (FREEWAY)|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Underpass (freeway),"Hazmat (paints, solvents, unidentified liquids)",UNDERPASS (FREEWAY),"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
205,UNDERPASS (FREEWAY)|LITTER,Underpass (freeway),Litter,UNDERPASS (FREEWAY),LITTER
206,UNDERPASS (FREEWAY)|NEEDLES,Underpass (freeway),Needles,UNDERPASS (FREEWAY),NEEDLES
207,UNDERPASS (FREEWAY)|OTHER,Underpass (freeway),Other,UNDERPASS (FREEWAY),OTHER
208,"UNDERPASS (FREEWAY)|OTHER, ENTER MORE DETAILS",Underpass (freeway),"Other, enter more details",UNDERPASS (FREEWAY),"OTHER, ENTER MORE DETAILS"
209,UNDERPASS (FREEWAY)|SHOPPING CARTS,Underpass (freeway),Shopping Carts,UNDERPASS (FREEWAY),SHOPPING CARTS
210,UNDERPASS (FREEWAY)|TIRES,Underpass (freeway),Tires,UNDERPASS (FREEWAY),TIRES
211,UNDERPASS (FREEWAY)|TV / COMPUTER MONITOR,Underpass (freeway),TV / Computer Monitor,UNDERPASS (FREEWAY),TV / COMPUTER MONITOR
212,UNDERPASS (FREEWAY)|YARD WASTE,Underpass (freeway),Yard Waste,UNDERPASS (FREEWAY),YARD WASTE
213,VACANT LOT|APPLIANCE,Vacant Lot,Appliance,VACANT LOT,APPLIANCE
214,VACANT LOT|AUTO PARTS,Vacant Lot,Auto Parts,VACANT LOT,AUTO PARTS
215,VACANT LOT|CONSTRUCTION DEBRIS,Vacant Lot,Construction Debris,VACANT LOT,CONSTRUCTION DEBRIS
216,VACANT LOT|ELECTRONICS,Vacant Lot,Electronics,VACANT LOT,ELECTRONICS
217,VACANT LOT|FURNITURE,Vacant Lot,Furniture,VACANT LOT,FURNITURE
218,VACANT LOT|GARBAGE,Vacant Lot,Garbage,VACANT LOT,GARBAGE
219,"VACANT LOT|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Vacant Lot,"Hazmat (paints, solvents, unidentified liquids)",VACANT LOT,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
220,VACANT LOT|LITTER,Vacant Lot,Litter,VACANT LOT,LITTER
221,VACANT LOT|MATTRESS,Vacant Lot,Mattress,VACANT LOT,MATTRESS
222,VACANT LOT|NEEDLES,Vacant Lot,Needles,VACANT LOT,NEEDLES
223,VACANT LOT|OTHER,Vacant Lot,Other,VACANT LOT,OTHER
224,"VACANT LOT|OTHER, ENTER MORE DETAILS",Vacant Lot,"Other, enter more details",VACANT LOT,"OTHER, ENTER MORE DETAILS"
225,VACANT LOT|SHOPPING CARTS,Vacant Lot,Shopping Carts,VACANT LOT,SHOPPING CARTS
226,VACANT LOT|TIRES,Vacant Lot,Tires,VACANT LOT,TIRES
227,VACANT LOT|TV / COMPUTER MONITOR,Vacant Lot,TV / Computer Monitor,VACANT LOT,TV / COMPUTER MONITOR
228,VACANT LOT|YARD WASTE,Vacant Lot,Yard Waste,VACANT LOT,YARD WASTE
229,VACANT LOT|UNK,Vacant Lot,,VACANT LOT,
230,UNK|APPLIANCE,,Appliance,,APPLIANCE
231,UNK|AUTO PARTS,,Auto Parts,,AUTO PARTS
232,UNK|CONSTRUCTION DEBRIS,,Construction Debris,,CONSTRUCTION DEBRIS
233,UNK|ELECTRONICS,,Electronics,,ELECTRONICS
234,UNK|FURNITURE,,Furniture,,FURNITURE
235,UNK|GARBAGE,,Garbage,,GARBAGE
236,"UNK|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",,"Hazmat (paints, solvents, unidentified liquids)",,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
237,UNK|LITTER,,Litter,,LITTER
238,UNK|NEEDLES,,Needles,,NEEDLES
239,UNK|OTHER,,Other,,OTHER
240,"UNK|OTHER, ENTER MORE DETAILS",,"Other, enter more details",,"OTHER, ENTER MORE DETAILS"
241,UNK|TIRES,,Tires,,TIRES
242,UNK|TV / COMPUTER MONITOR,,TV / Computer Monitor,,TV / COMPUTER MONITOR
243,UNK|YARD WASTE,,Yard Waste,,YARD WASTE
244,UNK|UNK,,,,
